[ 2014-02-28T16:35:13+08:00 ] /yuming/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000527s ]
[ 2014-02-28T16:35:13+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000625s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.172287s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 30   [ RunTime:0.172059s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Tag[ view_template ] --START--
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000867s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000985s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --START--
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Run ParseTemplate Behavior [ RunTime:0.021110s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021258s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --START--
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Run ContentReplace Behavior [ RunTime:0.000659s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Run TokenBuild Behavior [ RunTime:0.000758s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000454s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000782s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002939s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Tag[ view_end ] --START--
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000789s ]
[ 2014-02-28T16:35:19+08:00 ] /yuming/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000890s ]
