[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_end ] --START--
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000519s ]
[ 2014-03-01T19:09:10+08:00 ] /yuming/?&p=2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000594s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Tag[ app_begin ] --START--
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000643s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000784s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.004422s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | SQL: SELECT COUNT(*) AS tp_count FROM `domain` LIMIT 1   [ RunTime:0.022532s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 40,20   [ RunTime:0.000368s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Tag[ view_template ] --START--
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Run LocationTemplate Behavior [ RunTime:0.000779s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000880s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Tag[ view_parse ] --START--
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Run ParseTemplate Behavior [ RunTime:0.011924s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012147s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Tag[ view_filter ] --START--
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Run ContentReplace Behavior [ RunTime:0.000707s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Run TokenBuild Behavior [ RunTime:0.000756s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000500s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Run ShowRuntime Behavior [ RunTime:0.000611s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002941s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Tag[ view_end ] --START--
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000529s ]
[ 2014-03-01T19:09:11+08:00 ] /yuming/?&p=3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000607s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Tag[ app_begin ] --START--
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000680s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000815s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.004363s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | SQL: SELECT COUNT(*) AS tp_count FROM `domain` LIMIT 1   [ RunTime:0.021604s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 60,20   [ RunTime:0.000529s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Tag[ view_template ] --START--
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Run LocationTemplate Behavior [ RunTime:0.000698s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000786s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Tag[ view_parse ] --START--
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Run ParseTemplate Behavior [ RunTime:0.011200s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011322s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Tag[ view_filter ] --START--
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Run ContentReplace Behavior [ RunTime:0.000572s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Run TokenBuild Behavior [ RunTime:0.000568s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000360s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Run ShowRuntime Behavior [ RunTime:0.000528s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002274s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Tag[ view_end ] --START--
